text,label
Monthly subscription Uber 10326,software
Paid 8355 for Facebook ads campaign,marketing
Freelancer payment Zoom 153779,contractors
Ola cab fare ₹53073 for commute on 2025-11-18,travel
Consultant invoice paid ₹176703,contractors
Instagram ads charged 2499 for promotion,marketing
Ordered mouse from Airtel costing 1779,office supplies
Subscription renewal Dell amount ₹6471,software
Ola cab fare 25107 for commute,travel
Flight ticket to conference 949,travel
Internet broadband recharge Swiggy 10483,utilities
Monthly subscription HP 4919 on 2025-11-18,software
Instagram ads charged 2055 for promotion,marketing
Paid ₹13961 for Facebook ads campaign,marketing
Paid 5385 for Facebook ads campaign,marketing
Ola cab fare 36155 for commute,travel
Subscription renewal GoDaddy amount 1217,software
Consultant invoice paid 58985,contractors
Ola cab fare 34866 for commute,travel
Bought monitor for ₹7401 rupees from Flipkart,office supplies
Subscription renewal Amazon amount 6348,software
Ola cab fare 53977 for commute,travel
Purchased equipment: pens ₹180794,equipment
Renewal: domain GoDaddy payment ₹35144 on 2025-11-18,cloud hosting
Monthly subscription Swiggy ₹13791,software
Electricity bill payment Rs 12337,utilities
Ordered printer ink from Flipkart costing ₹989,office supplies
Paid 17150 for Google hosting,cloud hosting
Flight ticket to conference ₹44225 on 2025-11-18,travel
Paid Rs 3182 for HP hosting,cloud hosting
Renewal: domain Ola payment ₹39951,cloud hosting
Internet broadband recharge Jio 13569,utilities
Paid 13154 for Facebook ads campaign,marketing
Paid 282 for Facebook ads campaign,marketing
Bought laptop for 6556 rupees from Google,office supplies
Freelancer payment Uber 170327,contractors
Uber to client office 11985 on 2025-11-18,travel
Internet broadband recharge Microsoft ₹1298 on 2025-11-18,utilities
Renewal: domain Uber payment 32128,cloud hosting
Subscription renewal Flipkart amount ₹10250,software
Purchased equipment: monitor 171570,equipment
Freelancer payment HP ₹113278,contractors
Subscription renewal Dell amount 4633,software
Purchased equipment: mouse 104041 on 2025-11-18,equipment
Paid 9375 for Swiggy hosting,cloud hosting
Paid 1420 for Dell hosting,cloud hosting
Consultant invoice paid 56773,contractors
Purchased equipment: A4 paper ream 105897,equipment
Ola cab fare 32941 for commute,travel
Subscription renewal Swiggy amount ₹11309,software
Internet broadband recharge GoDaddy 9379,utilities
Purchased equipment: office chair 67362,equipment
Subscription renewal Amazon amount 8585,software
Internet broadband recharge Zomato 753,utilities
Bought laptop for team 79026 from Microsoft,equipment
Consultant invoice paid Rs 172268,contractors
Subscription renewal Zoom amount 5881,software
Bought A4 paper ream for ₹7307 rupees from Zoom on 2025-11-18,office supplies
Uber to client office ₹12349,travel
Renewal: domain Microsoft payment 27372,cloud hosting
Purchased equipment: notebook ₹164872,equipment
Bought office chair for 2195 rupees from Uber,office supplies
Ordered laptop from Zomato costing ₹2506,office supplies
Instagram ads charged 9919 for promotion,marketing
Ola cab fare 29538 for commute,travel
Subscription renewal Swiggy amount ₹9944,software
Instagram ads charged ₹4433 for promotion,marketing
Internet broadband recharge Google ₹1227,utilities
Renewal: domain Amazon payment 34456,cloud hosting
Paid 3006 for Facebook ads campaign on 2025-11-18,marketing
Bought laptop for team 34429 from HP,equipment
Bought keyboard for 8653 rupees from Zomato,office supplies
Electricity bill payment 13036,utilities
Renewal: domain Jio payment 16880,cloud hosting
Ola cab fare ₹26881 for commute on 2025-11-18,travel
Bought desk for 2030 rupees from Google,office supplies
Flight ticket to conference ₹7085,travel
Uber to client office 27858,travel
Consultant invoice paid 109325,contractors
Purchased equipment: pens ₹161427,equipment
Paid ₹12352 for Facebook ads campaign,marketing
Instagram ads charged 8428 for promotion,marketing
Ordered keyboard from GoDaddy costing ₹10518 on 2025-11-18,office supplies
Paid ₹7233 for Facebook ads campaign,marketing
Freelancer payment Flipkart 10897,contractors
Bought laptop for team 25063 from Ola,equipment
Internet broadband recharge Amazon 14035,utilities
Ordered laptop from HP costing 8464,office supplies
Ordered notebook from Airtel costing ₹10831,office supplies
Uber to client office 23242,travel
Bought printer ink for 1577 rupees from Dell,office supplies
Freelancer payment Airtel 60322,contractors
Bought A4 paper ream for 6770 rupees from Ola,office supplies
Flight ticket to conference 16988,travel
Internet broadband recharge Jio 8023,utilities
Internet broadband recharge Microsoft Rs 14788 on 2025-11-18,utilities
Paid 44562 for Jio hosting,cloud hosting
Freelancer payment Zoom 3548,contractors
Consultant invoice paid 20930,contractors
Monthly subscription Zomato ₹4508,software
Monthly subscription Adobe 3947,software
Monthly subscription Swiggy 13802 on 2025-11-18,software
Paid ₹40427 for Microsoft hosting,cloud hosting
Ordered mouse from Swiggy costing 6181,office supplies
Uber to client office 50186,travel
Paid 13195 for Facebook ads campaign on 2025-11-18,marketing
Freelancer payment Jio 120851,contractors
Bought notebook for 6316 rupees from Amazon,office supplies
Uber to client office ₹17326,travel
Flight ticket to conference 32787,travel
Freelancer payment Swiggy 74303,contractors
Subscription renewal Swiggy amount ₹11909,software
Electricity bill payment ₹3312,utilities
Paid 2993 for Facebook ads campaign,marketing
Bought laptop for team ₹137564 from Zoom,equipment
Ordered printer ink from Jio costing ₹11413,office supplies
Uber to client office 29581,travel
Uber to client office ₹27085,travel
Monthly subscription Google 10747,software
Freelancer payment Airtel 128793 on 2025-11-18,contractors
Ola cab fare ₹57002 for commute,travel
Flight ticket to conference 37562 on 2025-11-18,travel
Flight ticket to conference 20866,travel
Consultant invoice paid 96201,contractors
Instagram ads charged 2148 for promotion,marketing
Paid ₹26220 for Uber hosting on 2025-11-18,cloud hosting
Purchased equipment: office chair 16911,equipment
Renewal: domain Ola payment ₹10376,cloud hosting
Consultant invoice paid 65853,contractors
Bought laptop for team ₹17489 from Swiggy,equipment
Flight ticket to conference 30717,travel
Internet broadband recharge GoDaddy 3000,utilities
Electricity bill payment 5173,utilities
Paid 24171 for Adobe hosting on 2025-11-18,cloud hosting
Bought laptop for team ₹100147 from Swiggy,equipment
Purchased equipment: mouse ₹88541,equipment
Ola cab fare ₹52316 for commute,travel
Electricity bill payment 7261,utilities
Consultant invoice paid ₹58826,contractors
Subscription renewal Zoom amount 13331,software
Uber to client office ₹56033,travel
Renewal: domain Microsoft payment 40683,cloud hosting
Flight ticket to conference Rs 3352,travel
Ola cab fare Rs 46971 for commute on 2025-11-18,travel
Bought notebook for 5701 rupees from Adobe,office supplies
Freelancer payment Adobe ₹87572,contractors
Paid 12808 for Facebook ads campaign,marketing
Uber to client office ₹54380,travel
Subscription renewal Jio amount Rs 4149,software
Renewal: domain Zoom payment 31187,cloud hosting
Instagram ads charged 12301 for promotion,marketing
Ola cab fare ₹58264 for commute,travel
Renewal: domain Uber payment ₹21467,cloud hosting
Renewal: domain Jio payment 785,cloud hosting
Paid ₹4175 for Facebook ads campaign on 2025-11-18,marketing
Flight ticket to conference 4017,travel
Renewal: domain GoDaddy payment ₹15448,cloud hosting
Freelancer payment HP ₹193201,contractors
Freelancer payment Dell 66718,contractors
Ola cab fare 12537 for commute,travel
Internet broadband recharge Ola Rs 14199,utilities
Ola cab fare Rs 35594 for commute,travel
Consultant invoice paid 5907,contractors
Flight ticket to conference 43241,travel
Purchased equipment: desk 50404,equipment
Renewal: domain Flipkart payment ₹43381,cloud hosting
Paid ₹3410 for Facebook ads campaign,marketing
Ordered keyboard from Google costing 10879,office supplies
Ordered notebook from Airtel costing Rs 10027,office supplies
Purchased equipment: printer ink Rs 132698,equipment
Electricity bill payment 13112,utilities
Ordered printer ink from Dell costing ₹13771,office supplies
Bought laptop for team 70559 from Flipkart,equipment
Subscription renewal Google amount 9249 on 2025-11-18,software
Freelancer payment Microsoft 185169,contractors
Instagram ads charged ₹8368 for promotion,marketing
Internet broadband recharge Zomato ₹14886,utilities
Flight ticket to conference 27123,travel
Subscription renewal Google amount 3604,software
Freelancer payment Adobe ₹105094 on 2025-11-18,contractors
Ola cab fare ₹34022 for commute,travel
Bought notebook for Rs 3619 rupees from Ola,office supplies
Uber to client office 33606,travel
Ordered monitor from Adobe costing ₹2657,office supplies
Subscription renewal Uber amount ₹13388,software
Monthly subscription Dell ₹11955,software
Purchased equipment: laptop 34999,equipment
Consultant invoice paid ₹88658,contractors
Electricity bill payment 14350,utilities
Bought keyboard for ₹986 rupees from Microsoft on 2025-11-18,office supplies
Paid ₹11532 for Facebook ads campaign on 2025-11-18,marketing
Consultant invoice paid 151799,contractors
Consultant invoice paid ₹89124,contractors
Ordered keyboard from Zoom costing ₹4401,office supplies
Paid 7979 for Facebook ads campaign,marketing
Monthly subscription Zoom 12153,software
Electricity bill payment ₹1567,utilities
Freelancer payment Airtel ₹85079,contractors
Ola cab fare 40484 for commute,travel
Internet broadband recharge Amazon 3371,utilities
Paid 16128 for Flipkart hosting,cloud hosting
Ola cab fare 45568 for commute,travel
Flight ticket to conference ₹13985,travel
Uber to client office 40931,travel
Bought laptop for Rs 14944 rupees from Jio,office supplies
Ola cab fare ₹17878 for commute,travel
Bought keyboard for ₹10919 rupees from Flipkart,office supplies
Freelancer payment Swiggy ₹6001,contractors
Consultant invoice paid Rs 134310,contractors
Paid 33010 for GoDaddy hosting,cloud hosting
Ordered desk from Uber costing ₹5095,office supplies
Instagram ads charged 11311 for promotion,marketing
Bought laptop for team ₹174047 from Ola,equipment
Bought pens for ₹3795 rupees from Zoom,office supplies
Paid 8631 for Facebook ads campaign,marketing
Subscription renewal Jio amount ₹9486,software
Flight ticket to conference ₹8735,travel
Monthly subscription Swiggy 5162,software
Electricity bill payment 10851,utilities
Renewal: domain GoDaddy payment 9736,cloud hosting
Electricity bill payment 7358,utilities
Uber to client office ₹7097 on 2025-11-18,travel
Uber to client office ₹40231,travel
Bought printer ink for 11374 rupees from Airtel,office supplies
Purchased equipment: monitor 58228,equipment
Monthly subscription Uber Rs 6794,software
Electricity bill payment ₹12515,utilities
Internet broadband recharge Swiggy 8127,utilities
Electricity bill payment 10060,utilities
Bought laptop for team ₹146485 from Microsoft,equipment
Ordered notebook from Zomato costing 8598 on 2025-11-18,office supplies
Consultant invoice paid ₹50768,contractors
Ola cab fare ₹30334 for commute,travel
Ordered desk from Dell costing ₹14905,office supplies
Internet broadband recharge Flipkart ₹1954,utilities
Paid 5399 for Facebook ads campaign,marketing
Monthly subscription Zomato ₹1577,software
Instagram ads charged ₹1594 for promotion,marketing
Freelancer payment Flipkart 186408,contractors
Instagram ads charged ₹6335 for promotion,marketing
Flight ticket to conference 10724,travel
Electricity bill payment 12062,utilities
Renewal: domain Zomato payment ₹13494,cloud hosting
Bought mouse for 14115 rupees from Adobe,office supplies
Purchased equipment: notebook 164366,equipment
Bought desk for 4656 rupees from Uber,office supplies
Ordered A4 paper ream from GoDaddy costing Rs 1002,office supplies
Ola cab fare ₹3313 for commute,travel
Instagram ads charged 10112 for promotion,marketing
Instagram ads charged Rs 6001 for promotion,marketing
Freelancer payment Zomato 18738 on 2025-11-18,contractors
Purchased equipment: printer ink 192090,equipment
Monthly subscription Dell ₹10127,software
Bought laptop for team 199811 from Flipkart,equipment
Ola cab fare ₹55661 for commute,travel
Freelancer payment Zomato 162032,contractors
Purchased equipment: A4 paper ream ₹169752,equipment
Monthly subscription Amazon 492,software
Monthly subscription HP 6893,software
Monthly subscription Amazon ₹11405,software
Ola cab fare ₹36144 for commute on 2025-11-18,travel
Flight ticket to conference 47574,travel
Monthly subscription Airtel 11117 on 2025-11-18,software
Paid 10376 for Facebook ads campaign,marketing
Internet broadband recharge HP ₹12266,utilities
Flight ticket to conference ₹1326,travel
Freelancer payment Flipkart 74520,contractors
Instagram ads charged ₹6482 for promotion on 2025-11-18,marketing
Ola cab fare ₹46620 for commute,travel
Purchased equipment: notebook 107408,equipment
Ola cab fare 24624 for commute,travel
Internet broadband recharge Zoom 13191,utilities
Purchased equipment: desk 91358,equipment
Bought laptop for team 63788 from Microsoft,equipment
Bought laptop for team 91521 from Flipkart,equipment
Paid ₹3223 for Airtel hosting,cloud hosting
Ola cab fare ₹49808 for commute,travel
Flight ticket to conference ₹18880,travel
Internet broadband recharge Microsoft ₹4567,utilities
Bought desk for ₹8522 rupees from Google,office supplies
Flight ticket to conference 46260,travel
Ola cab fare 35527 for commute,travel
Ordered keyboard from Flipkart costing ₹981,office supplies
Internet broadband recharge Google ₹5219,utilities
Paid ₹37410 for Zomato hosting,cloud hosting
Internet broadband recharge Flipkart 5185,utilities
Subscription renewal Uber amount 14208,software
Instagram ads charged 13023 for promotion,marketing
Paid 23232 for Adobe hosting,cloud hosting
Freelancer payment Google 34395,contractors
Renewal: domain Airtel payment ₹42762,cloud hosting
Internet broadband recharge Jio ₹6873,utilities
Instagram ads charged ₹1182 for promotion,marketing
Electricity bill payment 9393,utilities
Paid ₹32091 for Dell hosting,cloud hosting
Flight ticket to conference 53972,travel
Renewal: domain Microsoft payment ₹25032,cloud hosting
Ordered notebook from Flipkart costing ₹13486,office supplies
Bought A4 paper ream for ₹10927 rupees from HP,office supplies
Consultant invoice paid ₹118220,contractors
Flight ticket to conference 52158,travel
Electricity bill payment 1562,utilities
Paid 1122 for Facebook ads campaign on 2025-11-18,marketing
Freelancer payment Flipkart ₹9174,contractors
Consultant invoice paid 187587,contractors
Instagram ads charged 3183 for promotion,marketing
Electricity bill payment 14398 on 2025-11-18,utilities
Bought mouse for 10879 rupees from GoDaddy on 2025-11-18,office supplies
Electricity bill payment 14740,utilities
Instagram ads charged 7048 for promotion,marketing
Instagram ads charged 221 for promotion,marketing
Bought laptop for team Rs 153174 from Ola on 2025-11-18,equipment
Purchased equipment: monitor 39665 on 2025-11-18,equipment
Bought laptop for team 131880 from Swiggy,equipment
Subscription renewal Adobe amount 11307,software
Ordered monitor from Zomato costing 8865,office supplies
Purchased equipment: monitor 120366,equipment
Instagram ads charged ₹12378 for promotion,marketing
Uber to client office ₹37989 on 2025-11-18,travel
Ola cab fare ₹1889 for commute on 2025-11-18,travel
Bought laptop for team ₹76073 from Flipkart,equipment
Uber to client office ₹39672,travel
Paid 6158 for Facebook ads campaign,marketing
Purchased equipment: desk ₹18674 on 2025-11-18,equipment
Paid 13823 for Facebook ads campaign,marketing
Subscription renewal Microsoft amount 11994,software
Freelancer payment Amazon Rs 199045,contractors
Purchased equipment: mouse ₹149597,equipment
Consultant invoice paid 39050,contractors
Internet broadband recharge Jio Rs 8787,utilities
Freelancer payment Swiggy 161035,contractors
Uber to client office 16834,travel
Subscription renewal Dell amount ₹12723,software
Instagram ads charged 273 for promotion on 2025-11-18,marketing
Renewal: domain Zoom payment 45124,cloud hosting
Monthly subscription Amazon ₹10248,software
Monthly subscription Google Rs 11701,software
Consultant invoice paid 49435,contractors
Internet broadband recharge Microsoft 10565,utilities
Flight ticket to conference ₹51266,travel
Consultant invoice paid ₹16744,contractors
Instagram ads charged 8156 for promotion,marketing
Purchased equipment: A4 paper ream 151723,equipment
Internet broadband recharge Dell ₹1792 on 2025-11-18,utilities
Uber to client office 1329,travel
Ordered keyboard from Microsoft costing ₹4465,office supplies
Consultant invoice paid 136104,contractors
Consultant invoice paid ₹142591,contractors
Purchased equipment: laptop 150326,equipment
Consultant invoice paid 96775 on 2025-11-18,contractors
Internet broadband recharge HP ₹10713,utilities
Consultant invoice paid 79347,contractors
Freelancer payment Adobe 166882 on 2025-11-18,contractors
Bought laptop for Rs 4007 rupees from Dell,office supplies
Ola cab fare 54773 for commute on 2025-11-18,travel
Flight ticket to conference 51727,travel
Bought laptop for team 49047 from Adobe on 2025-11-18,equipment
Paid 7820 for Facebook ads campaign,marketing
Paid ₹10465 for Facebook ads campaign,marketing
Renewal: domain Adobe payment Rs 11386,cloud hosting
Renewal: domain Adobe payment ₹40545,cloud hosting
Electricity bill payment ₹5412,utilities
Paid ₹12621 for Facebook ads campaign,marketing
Paid 9456 for Flipkart hosting,cloud hosting
Instagram ads charged ₹9635 for promotion on 2025-11-18,marketing
Consultant invoice paid Rs 5097 on 2025-11-18,contractors
Paid 18794 for Dell hosting,cloud hosting
Paid ₹10582 for Facebook ads campaign,marketing
Subscription renewal GoDaddy amount ₹11432,software
Purchased equipment: printer ink 174414,equipment
Subscription renewal Uber amount 8786,software
Bought laptop for team 174223 from Uber,equipment
Paid ₹8251 for Facebook ads campaign,marketing
Ordered monitor from Amazon costing ₹4770,office supplies
Internet broadband recharge Amazon ₹12230,utilities
Instagram ads charged Rs 8047 for promotion,marketing
Internet broadband recharge Google 5440,utilities
Subscription renewal HP amount ₹5443,software
Electricity bill payment Rs 6252,utilities
Ordered keyboard from Zomato costing ₹2474,office supplies
Instagram ads charged 2334 for promotion,marketing
Uber to client office ₹8436,travel
Uber to client office 55913,travel
Subscription renewal Zomato amount ₹9989,software
Instagram ads charged ₹14108 for promotion,marketing
Bought laptop for team 165079 from Adobe on 2025-11-18,equipment
Electricity bill payment ₹4160,utilities
Paid ₹14816 for Facebook ads campaign,marketing
Ordered desk from Adobe costing 650,office supplies
Renewal: domain Adobe payment ₹15962,cloud hosting
Electricity bill payment ₹5972,utilities
Paid ₹44045 for Amazon hosting,cloud hosting
Bought mouse for ₹12745 rupees from Adobe,office supplies
Instagram ads charged 10369 for promotion,marketing
Paid ₹34994 for Jio hosting,cloud hosting
Uber to client office 35649,travel
Flight ticket to conference 33833,travel
Renewal: domain Jio payment 30697,cloud hosting
Paid 9270 for Zoom hosting on 2025-11-18,cloud hosting
Purchased equipment: laptop ₹194246,equipment
Subscription renewal Airtel amount ₹14811,software
Uber to client office ₹24532,travel
Bought laptop for team 133250 from Swiggy,equipment
Ola cab fare 24226 for commute,travel
Paid ₹5921 for Uber hosting,cloud hosting
Ola cab fare ₹10898 for commute,travel
Purchased equipment: notebook Rs 146495,equipment
Paid 6983 for Facebook ads campaign,marketing
Paid 34253 for Amazon hosting,cloud hosting
Flight ticket to conference 43737,travel
Ola cab fare 58969 for commute,travel
Purchased equipment: pens ₹22404,equipment
Instagram ads charged 11762 for promotion,marketing
Paid ₹2015 for Facebook ads campaign,marketing
Paid ₹6156 for Facebook ads campaign,marketing
Ordered monitor from Microsoft costing ₹5733,office supplies
Instagram ads charged 2090 for promotion,marketing
Paid ₹2656 for Facebook ads campaign,marketing
Bought laptop for team 134232 from Airtel,equipment
Paid 12036 for Facebook ads campaign,marketing
Purchased equipment: office chair 46548 on 2025-11-18,equipment
Subscription renewal Adobe amount ₹1615,software
Monthly subscription Google 3739,software
Paid Rs 44572 for Zoom hosting,cloud hosting
Monthly subscription Adobe 9982,software
Freelancer payment Jio 188685,contractors
Ola cab fare 20290 for commute on 2025-11-18,travel
Internet broadband recharge Dell 13267,utilities
Electricity bill payment 2386,utilities
Ola cab fare ₹22081 for commute,travel
Consultant invoice paid 108337,contractors
Internet broadband recharge Dell 12473,utilities
Ola cab fare 2867 for commute,travel
Purchased equipment: mouse ₹68856 on 2025-11-18,equipment
Uber to client office 8238,travel
Purchased equipment: notebook ₹17456,equipment
Paid 38280 for Google hosting,cloud hosting
Purchased equipment: printer ink 107832,equipment
Instagram ads charged ₹2494 for promotion,marketing
Paid ₹966 for Facebook ads campaign,marketing
Freelancer payment Amazon 77457,contractors
Instagram ads charged 9910 for promotion,marketing
Ola cab fare 6380 for commute,travel
Paid 6211 for Facebook ads campaign,marketing
Instagram ads charged 2632 for promotion,marketing
Bought laptop for team 196789 from Swiggy on 2025-11-18,equipment
Internet broadband recharge Zomato 2009,utilities
Ola cab fare 9210 for commute,travel
Flight ticket to conference 1984,travel
Paid ₹5136 for Facebook ads campaign,marketing
Paid ₹5294 for Jio hosting,cloud hosting
Electricity bill payment ₹1866,utilities
Ordered printer ink from Adobe costing ₹14985 on 2025-11-18,office supplies
Bought printer ink for ₹12918 rupees from HP,office supplies
Monthly subscription GoDaddy ₹579,software
Uber to client office ₹23181,travel
Subscription renewal Zoom amount ₹1219,software
Bought notebook for ₹11827 rupees from Zoom,office supplies
Bought printer ink for 3606 rupees from Dell,office supplies
Instagram ads charged 3063 for promotion,marketing
Bought laptop for team 39581 from Uber,equipment
Bought laptop for team 104699 from GoDaddy on 2025-11-18,equipment
Flight ticket to conference ₹25317,travel
Ola cab fare 14902 for commute,travel
Monthly subscription Swiggy 14759,software
Instagram ads charged ₹11111 for promotion,marketing
Paid 26074 for Flipkart hosting on 2025-11-18,cloud hosting
Instagram ads charged ₹3361 for promotion,marketing
Consultant invoice paid 112333,contractors
Uber to client office 23437,travel
Purchased equipment: pens 48633,equipment
Purchased equipment: A4 paper ream ₹17791 on 2025-11-18,equipment
Paid 11937 for Adobe hosting,cloud hosting
Renewal: domain HP payment 43524,cloud hosting
Monthly subscription Ola 8132,software
Bought office chair for 7151 rupees from HP,office supplies
Consultant invoice paid ₹10432,contractors
Ola cab fare 32309 for commute,travel
Renewal: domain Google payment 43458,cloud hosting
Instagram ads charged ₹6512 for promotion,marketing
Consultant invoice paid ₹75563 on 2025-11-18,contractors
Ordered monitor from GoDaddy costing 5815,office supplies
Flight ticket to conference ₹28159,travel
Freelancer payment Amazon ₹65910,contractors
Paid ₹20182 for Zomato hosting,cloud hosting
Flight ticket to conference 43207,travel
Uber to client office ₹38634,travel
Consultant invoice paid 26618,contractors
Flight ticket to conference 53279,travel
Freelancer payment Jio 131272 on 2025-11-18,contractors
Monthly subscription Ola ₹878,software
Subscription renewal Google amount Rs 11858,software
Paid 31347 for Google hosting on 2025-11-18,cloud hosting
Ola cab fare 28471 for commute,travel
Uber to client office 29802,travel
Bought laptop for team 161216 from Swiggy,equipment
Internet broadband recharge Ola 13353,utilities
Ordered notebook from Zoom costing 6068,office supplies
Ola cab fare ₹26986 for commute,travel
Paid ₹27229 for Microsoft hosting,cloud hosting
Instagram ads charged 3968 for promotion,marketing
Subscription renewal HP amount 7704,software
Ordered A4 paper ream from Uber costing ₹4568,office supplies
Uber to client office Rs 11633,travel
Bought printer ink for 5243 rupees from Amazon,office supplies
Electricity bill payment Rs 11104,utilities
Paid 9454 for Facebook ads campaign,marketing
Bought laptop for team ₹33658 from Ola,equipment
Flight ticket to conference 48415,travel
Electricity bill payment ₹1850,utilities
Internet broadband recharge Jio 14237,utilities
Renewal: domain Airtel payment 27972,cloud hosting
Paid 11825 for Facebook ads campaign,marketing
Ordered office chair from Swiggy costing 11416,office supplies
Consultant invoice paid ₹180633,contractors
Internet broadband recharge Jio 6538,utilities
Subscription renewal Ola amount 14180,software
Electricity bill payment 4589,utilities
Purchased equipment: keyboard 97221,equipment
Instagram ads charged ₹8395 for promotion,marketing
Flight ticket to conference ₹50036,travel
Internet broadband recharge HP 150,utilities
Paid 16558 for Flipkart hosting,cloud hosting
Paid 11335 for Facebook ads campaign,marketing
Paid 11363 for Facebook ads campaign,marketing
Paid 12120 for Jio hosting,cloud hosting
Subscription renewal Amazon amount 9250,software
Internet broadband recharge Uber Rs 11589,utilities
Uber to client office ₹24212,travel
Bought desk for 7229 rupees from Dell,office supplies
Purchased equipment: notebook ₹197056,equipment
Uber to client office ₹25139,travel
Monthly subscription Swiggy 12006,software
Paid ₹4389 for Facebook ads campaign,marketing
Subscription renewal Airtel amount Rs 11311,software
Flight ticket to conference ₹45113,travel
Electricity bill payment ₹4298,utilities
Ordered notebook from Airtel costing 7815,office supplies
Ordered pens from Amazon costing 8366,office supplies
Freelancer payment GoDaddy 11780,contractors
Flight ticket to conference ₹8745,travel
Electricity bill payment ₹2014,utilities
Purchased equipment: pens 104527,equipment
Uber to client office 28658,travel
Paid ₹971 for Facebook ads campaign on 2025-11-18,marketing
Instagram ads charged ₹4363 for promotion,marketing
Renewal: domain Zomato payment 2873,cloud hosting
Internet broadband recharge Adobe 13958,utilities
Monthly subscription Swiggy 3059,software
Monthly subscription Google 8718,software
Subscription renewal HP amount ₹11190,software
Ola cab fare 25932 for commute on 2025-11-18,travel
Flight ticket to conference 5412,travel
Uber to client office 21689,travel
Flight ticket to conference ₹8575 on 2025-11-18,travel
Ola cab fare ₹48845 for commute,travel
Consultant invoice paid ₹67889,contractors
Consultant invoice paid ₹55584,contractors
Ola cab fare ₹8003 for commute,travel
Ola cab fare Rs 8704 for commute,travel
Monthly subscription Adobe 14606,software
Paid 24332 for HP hosting,cloud hosting
Ordered monitor from Zoom costing 7694,office supplies
Purchased equipment: desk ₹32012,equipment
Purchased equipment: A4 paper ream 43499,equipment
Electricity bill payment 881,utilities
Bought laptop for team 34768 from Jio,equipment
Freelancer payment Ola Rs 22435,contractors
Internet broadband recharge GoDaddy Rs 13910,utilities
Ola cab fare 47554 for commute,travel
Uber to client office ₹13932,travel
Uber to client office Rs 28529 on 2025-11-18,travel
Instagram ads charged 7639 for promotion,marketing
Purchased equipment: laptop 171675,equipment
Consultant invoice paid ₹23973 on 2025-11-18,contractors
Renewal: domain Swiggy payment 45815,cloud hosting
Paid 7239 for Facebook ads campaign,marketing
Paid Rs 9910 for Ola hosting,cloud hosting
Paid 8047 for Facebook ads campaign,marketing
Monthly subscription Ola Rs 13689 on 2025-11-18,software
Electricity bill payment 12176,utilities
Ordered keyboard from Adobe costing 8064,office supplies
Purchased equipment: office chair ₹148492,equipment
Paid ₹31220 for Ola hosting,cloud hosting
Freelancer payment Adobe ₹6454,contractors
Purchased equipment: mouse 70844,equipment
Internet broadband recharge GoDaddy 11945,utilities
Freelancer payment HP 43474,contractors
Purchased equipment: A4 paper ream ₹62293,equipment
Electricity bill payment ₹3945 on 2025-11-18,utilities
Bought pens for 5949 rupees from Airtel,office supplies
Bought laptop for team 98535 from Amazon,equipment
Subscription renewal Adobe amount 5675,software
Uber to client office 56028,travel
Ordered mouse from Zomato costing 13190 on 2025-11-18,office supplies
Renewal: domain HP payment 40154,cloud hosting
Ordered printer ink from Zoom costing 2836,office supplies
Instagram ads charged 11702 for promotion,marketing
Renewal: domain GoDaddy payment 22128,cloud hosting
Electricity bill payment 4119,utilities
Instagram ads charged 6201 for promotion,marketing
Subscription renewal GoDaddy amount 7009,software
Electricity bill payment 14065,utilities
Internet broadband recharge GoDaddy 11857 on 2025-11-18,utilities
Flight ticket to conference ₹28547,travel
Paid 1047 for Facebook ads campaign,marketing
Bought laptop for team 115382 from Ola,equipment
Flight ticket to conference 617,travel
Paid 7410 for Facebook ads campaign,marketing
Internet broadband recharge Dell 14643,utilities
Ola cab fare ₹35321 for commute,travel
Paid ₹4751 for Facebook ads campaign,marketing
Ola cab fare Rs 49713 for commute,travel
Uber to client office 47712,travel
Freelancer payment Ola ₹93923,contractors
Renewal: domain Adobe payment 37715,cloud hosting
Subscription renewal Airtel amount 4761,software
Paid 8614 for Facebook ads campaign,marketing
Monthly subscription Swiggy ₹7543,software
Electricity bill payment 1118,utilities
Paid 26594 for Airtel hosting,cloud hosting
Uber to client office 41811,travel
Purchased equipment: keyboard ₹52688,equipment
Internet broadband recharge GoDaddy 14243,utilities
Ordered A4 paper ream from Dell costing 9259,office supplies
Electricity bill payment Rs 6155,utilities
Freelancer payment Ola ₹80497 on 2025-11-18,contractors
Paid ₹7010 for Facebook ads campaign,marketing
Ola cab fare Rs 53782 for commute,travel
Paid 27566 for Swiggy hosting,cloud hosting
Flight ticket to conference 31244,travel
Paid 12579 for Facebook ads campaign,marketing
Flight ticket to conference 43648,travel
Flight ticket to conference 44038,travel
Instagram ads charged 9471 for promotion,marketing
Renewal: domain Microsoft payment ₹5780,cloud hosting
Ordered desk from Google costing 3203 on 2025-11-18,office supplies
Instagram ads charged ₹12990 for promotion,marketing
Internet broadband recharge Flipkart ₹10042,utilities
Purchased equipment: office chair 99117,equipment
Flight ticket to conference ₹6065 on 2025-11-18,travel
Instagram ads charged ₹3092 for promotion on 2025-11-18,marketing
Ola cab fare 3960 for commute on 2025-11-18,travel
Ordered keyboard from Ola costing ₹1717,office supplies
Flight ticket to conference Rs 54346,travel
Subscription renewal Adobe amount 12427,software
Flight ticket to conference ₹26778 on 2025-11-18,travel
Subscription renewal Zomato amount 4509 on 2025-11-18,software
Paid 6764 for Facebook ads campaign,marketing
Paid 2855 for Facebook ads campaign,marketing
